ebird_code_v2022,scientific_name
harfra4,Pternistis harwoodi
swafra2,Pternistis swainsonii
yenspu1,Pternistis leucoscepus
gybfra1,Pternistis rufopictus
renfra1,Pternistis afer
sponig1,Eurostopodus argus
whtnig3,Eurostopodus mystacalis
dianig1,Eurostopodus diabolicus
papnig1,Eurostopodus papuensis
malnig1,Lyncornis temminckii
grenig1,Lyncornis macrotis
nacnig1,Chordeiles nacunda
leanig1,Chordeiles pusillus
sacnig1,Chordeiles rupestris
lesnig,Chordeiles acutipennis
comnig,Chordeiles minor
antnig,Chordeiles gundlachii
shtnig1,Lurocalis semitorquatus
rubnig1,Lurocalis rufiventris
batnig1,Nyctiprogne leucopyga
bahnig1,Nyctiprogne vielliardi
blanig1,Nyctipolus nigrescens
pygnig1,Nyctipolus hirundinaceus
compau,Nyctidromus albicollis
scrnig1,Nyctidromus anthonyi
samnig1,Setopagis heterura
litnig1,Setopagis parvula
siwnig1,Eleothreptus anomalus
whwnig1,Eleothreptus candicans
bawnig1,Systellura longirostris
bawnig3,Systellura decussata
swtnig1,Uropsalis segmentata
lytnig1,Uropsalis lyra
whtnig1,Hydropsalis cayennensis
sptnig1,Hydropsalis maculicaudus
latnig1,Hydropsalis climacocerca
sctnig2,Hydropsalis torquata
lotnig2,Macropsalis forcipata
leapau1,Siphonorhis brewsteri
chopoo1,Nyctiphrynus rosenbergi
earpoo1,Nyctiphrynus mcleodii
yucpoo1,Nyctiphrynus yucatanicus
ocepoo1,Nyctiphrynus ocellatus
compoo,Phalaenoptilus nuttallii
chwwid,Antrostomus carolinensis
rufnig1,Antrostomus rufus
granig3,Antrostomus ekmani
tacnig1,Antrostomus salvini
yucnig1,Antrostomus badius
sitnig1,Antrostomus sericocaudatus
bucnig,Antrostomus ridgwayi
easwpw1,Antrostomus vociferus
souwpw1,Antrostomus arizonae
purnig1,Antrostomus noctitherus
dusnig1,Antrostomus saturatus
bronig1,Veles binotatus
rennig1,Caprimulgus ruficollis
grynig2,Caprimulgus indicus
grynig1,Caprimulgus jotaka
palnig1,Caprimulgus phalaena
eurnig1,Caprimulgus europaeus
somnig1,Caprimulgus fraenatus
rucnig1,Caprimulgus rufigena
egynig1,Caprimulgus aegyptius
syknig1,Caprimulgus mahrattensis
nubnig1,Caprimulgus nubicus
golnig1,Caprimulgus eximius
jernig1,Caprimulgus atripennis
latnig2,Caprimulgus macrurus
meenig1,Caprimulgus meesi
andnig1,Caprimulgus andamanicus
phinig1,Caprimulgus manillensis
sulnig1,Caprimulgus celebensis
dosnig1,Caprimulgus donaldsoni
bksnig1,Caprimulgus pectoralis nigriscapularis
finnig1,Caprimulgus pectoralis
monnig1,Caprimulgus poliocephalus
indnig1,Caprimulgus asiaticus
madnig1,Caprimulgus madagascariensis
swanig1,Caprimulgus natalensis
planig1,Caprimulgus inornatus
stsnig1,Caprimulgus stellatus
savnig1,Caprimulgus affinis
frenig1,Caprimulgus tristigma
bonnig1,Caprimulgus concretus
salnig1,Caprimulgus pulchellus
batnig2,Caprimulgus batesi
lotnig1,Caprimulgus climacurus
sltnig1,Caprimulgus clarus
sqtnig1,Caprimulgus fossii
stwnig1,Caprimulgus longipennis
pewnig1,Caprimulgus vexillarius
oilbir1,Steatornis caripensis
grepot1,Nyctibius grandis
lotpot1,Nyctibius aethereus
norpot1,Nyctibius jamaicensis
compot1,Nyctibius griseus
andpot1,Nyctibius maculosus
whwpot1,Nyctibius leucopterus
rufpot1,Phyllaemulor bracteatus
marfro1,Podargus ocellatus
papfro1,Podargus papuensis
tawfro1,Podargus strigoides
soifro1,Rigidipenna inexpectata
larfro1,Batrachostomus auritus
dulfro1,Batrachostomus harterti
phifro1,Batrachostomus septimus
goufro1,Batrachostomus stellatus
ceyfro1,Batrachostomus moniliger
hodfro1,Batrachostomus hodgsoni
shtfro3,Batrachostomus poliolophus
shtfro2,Batrachostomus mixtus
javfro3,Batrachostomus javensis
javfro2,Batrachostomus affinis
palfro1,Batrachostomus chaseni
sunfro1,Batrachostomus cornutus
feonig1,Aegotheles insignis
spaown1,Aegotheles tatei
molown1,Aegotheles crinifrons
waonig1,Aegotheles wallacii
moonig1,Aegotheles albertisi
barown1,Aegotheles bennettii
auonig1,Aegotheles cristatus
cretre1,Hemiprocne coronata
gyrtre1,Hemiprocne longipennis
whitre1,Hemiprocne comata
moutre1,Hemiprocne mystacea
spfswi1,Cypseloides cherriei
whcswi1,Cypseloides cryptus
whfswi1,Cypseloides storeri
sooswi1,Cypseloides fumigatus
rotswi1,Cypseloides rothschildi
blkswi,Cypseloides niger
whcswi2,Cypseloides lemosi
grdswi1,Cypseloides senex
tepswi1,Streptoprocne phelpsi
chcswi1,Streptoprocne rutila
whcswi,Streptoprocne zonaris
bisswi1,Streptoprocne biscutata
whnswi1,Streptoprocne semicollaris
pltswi1,Collocalia affinis
tenswi1,Collocalia sumbawae
draswi1,Collocalia neglecta
gloswi1,Collocalia esculenta
satswi1,Collocalia uropygialis
cavswi3,Collocalia dodgei
cavswi2,Collocalia linchi
pygswi2,Collocalia troglodytes
seyswi1,Aerodramus elaphrus
masswi1,Aerodramus francicus
indswi1,Aerodramus unicolor
phiswi1,Aerodramus mearnsi
molswi3,Aerodramus infuscatus
mouswi2,Aerodramus hirundinaceus
whrswi2,Aerodramus spodiopygius
ausswi1,Aerodramus terraereginae
himswi2,Aerodramus brevirostris
monswi2,Aerodramus salangana
uniswi1,Aerodramus vanikorensis
palswi2,Aerodramus amelis
palswi1,Aerodramus pelewensis
caiswi1,Aerodramus inquietus
atiswi1,Aerodramus sawtelli
marswi2,Aerodramus ocistus
ednswi1,Aerodramus fuciphagus
gerswi1,Aerodramus germani
scaswi1,Schoutedenapus myoptilus
papnee1,Mearnsia novaeguineae
whrnee1,Zoonavena sylvatica
motspi1,Telacanthura ussheri
sirnee1,Rhaphidura leucopygialis
sabspi1,Rhaphidura sabini
whtnee,Hirundapus caudacutus
sibnee1,Hirundapus cochinchinensis
grrswi1,Chaetura cinereiventris
barswi,Chaetura spinicaudus
leaswi1,Chaetura martinica
corswi,Chaetura fumosa
parswi1,Chaetura egregia
chiswi,Chaetura pelagica
vauswi,Chaetura vauxi
chaswi2,Chaetura chapmani
sicswi1,Chaetura meridionalis
shtswi1,Chaetura brachyura
whtswi,Aeronautes saxatalis
whtswi1,Aeronautes montivagus
andswi1,Aeronautes andecolus
anpswi,Tachornis phoenicobia
ftpswi1,Tachornis squamata
gstswi1,Panyptila sanctihieronymi
lstswi1,Panyptila cayennensis
afpswi1,Cypsiurus parvus
malpas1,Cypsiurus gracilis
aspswi1,Cypsiurus balasiensis
alpswi1,Apus melba
motswi2,Apus aequatorialis
aleswi1,Apus alexandri
comswi,Apus apus
plaswi1,Apus unicolor
nyaswi1,Apus niansae
palswi3,Apus pallidus
afrswi1,Apus barbatus
madswi1,Apus balstoni
fowswi1,Apus berliozi
braswi1,Apus bradfieldi
fotswi,Apus pacificus
saaswi1,Apus salimalii
blyswi1,Apus leuconyx
cooswi1,Apus cooki
darswi1,Apus acuticauda
litswi1,Apus affinis
houswi1,Apus nipalensis
horswi1,Apus horus
whrswi1,Apus caffer
critop1,Topaza pella
fietop1,Topaza pyra
whnjac1,Florisuga mellivora
blkjac1,Florisuga fusca
whtsic1,Eutoxeres aquila
butsic1,Eutoxeres condamini
sabher1,Ramphodon naevius
hobher2,Glaucis dohrnii
broher,Glaucis aeneus
rubher,Glaucis hirsutus
batbar1,Threnetes ruckeri
patbar1,Threnetes leucurus
brther2,Anopetia gounellei
duther1,Phaethornis squalidus
stther1,Phaethornis rupurumii
lither2,Phaethornis longuemareus
lither3,Phaethornis aethopygus
minher1,Phaethornis idaliae
cither1,Phaethornis nattereri
bkther1,Phaethornis atrimentalis
stther2,Phaethornis striigularis
gycher1,Phaethornis griseogularis
redher1,Phaethornis ruber
bubher1,Phaethornis subochraceus
socher1,Phaethornis augusti
plaher1,Phaethornis pretrei
scther1,Phaethornis eurynome
pabher1,Phaethornis anthophilus
whbher1,Phaethornis hispidus
whwher1,Phaethornis yaruqui
greher1,Phaethornis guy
tabher1,Phaethornis syrmatophorus
koeher1,Phaethornis koepckeae
nebher1,Phaethornis philippii
stbher1,Phaethornis bourcieri
mexher1,Phaethornis mexicanus
lobher,Phaethornis longirostris
lother1,Phaethornis superciliosus
grbher1,Phaethornis malaris
grflan1,Doryfera ludovicae
blflan1,Doryfera johannae
webhum3,Schistes albogularis
webhum1,Schistes geoffroyi
hyavis1,Augastes scutatus
hoovis2,Augastes lumachella
brvear1,Colibri delphinae
grnvie1,Colibri thalassinus
lesvio1,Colibri cyanotus
spvear1,Colibri coruscans
wvvear1,Colibri serrirostris
tobhum1,Androdon aequatorialis
horsun2,Heliactin bilophus
pucfai1,Heliothryx barroti
bkefai1,Heliothryx auritus
whtgol1,Polytmus guainumbi
tepgol1,Polytmus milleri
grtgol1,Polytmus theresiae
fitawl1,Avocettula recurvirostris
ruthum1,Chrysolampis mosquitus
jamman1,Anthracothorax mango
bltman1,Anthracothorax nigricollis
grtman1,Anthracothorax viridigula
gnbman,Anthracothorax prevostii
verman1,Anthracothorax veraguensis
antman2,Anthracothorax dominicus
greman1,Anthracothorax viridis
grtcar1,Eulampis holosericeus
putcar1,Eulampis jugularis
ortsun1,Heliangelus mavors
amtsun3,Heliangelus amethysticollis
amtsun2,Heliangelus clarisse
amtsun4,Heliangelus spencei
gorsun1,Heliangelus strophianus
tousun1,Heliangelus exortis
litsun1,Heliangelus micraster
putsun1,Heliangelus viola
roysun1,Heliangelus regalis
grbfir1,Sephanoides sephaniodes
juffir1,Sephanoides fernandensis
gretho1,Discosura conversii
wictho2,Discosura popelairii
bkbtho1,Discosura langsdorffi
ratcoq2,Discosura longicaudus
tufcoq1,Lophornis ornatus
doecoq1,Lophornis gouldii
fricoq1,Lophornis magnificus
ruccoq1,Lophornis delattrei
fescoq3,Lophornis chalybeus
blccoq1,Lophornis helenae
whccoq1,Lophornis adorabilis
ecupie1,Phlogophilus hemileucurus
spehum1,Adelomyia melanogenys
lotsyl1,Aglaiocercus kingii
vitsyl1,Aglaiocercus coelestis
vensyl1,Aglaiocercus berlepschi
retcom1,Sappho sparganurus
brtcom1,Polyonymus caroli
gybcom1,Taphrolesbia griseiventris
andhil3,Oreotrochilus estella
whshil1,Oreotrochilus leucopleurus
ecuhil1,Oreotrochilus chimborazo
buthil1,Oreotrochilus cyanolaemus
andhil2,Oreotrochilus stolzmanni
blbhil1,Oreotrochilus melanogaster
wethil1,Oreotrochilus adela
mouavo1,Opisthoprora euryptera
blttra1,Lesbia victoriae
grttra1,Lesbia nuna
blbtho1,Ramphomicron dorsale
pubtho1,Ramphomicron microrhynchum
brttho1,Chalcostigma heteropogon
rabtho1,Chalcostigma herrani
ructho1,Chalcostigma ruficeps
blmtho1,Chalcostigma stanleyi
bufhel1,Oxypogon stuebelii
bubhel1,Oxypogon cyanolaemus
gnbhel1,Oxypogon guerinii
tyrmet1,Metallura tyrianthina
permet1,Metallura iracunda
virmet1,Metallura williami
vitmet1,Metallura baroni
nebmet1,Metallura odomae
fitmet1,Metallura eupogon
scamet1,Metallura aeneocauda
blamet1,Metallura phoebe
grepuf1,Haplophaedia aureliae
butpuf1,Haplophaedia assimilis
hoapuf1,Haplophaedia lugens
blbpuf3,Eriocnemis nigrivestis
glopuf2,Eriocnemis vestita
bltpuf1,Eriocnemis derbyi
cobpuf1,Eriocnemis cupreoventris
savpuf1,Eriocnemis luciani
gobpuf1,Eriocnemis mosquera
blcpuf1,Eriocnemis glaucopoides
embpuf1,Eriocnemis aline
marspa1,Loddigesia mirabilis
shisun1,Aglaeactis cupripennis
pubsun1,Aglaeactis aliciae
blhsun1,Aglaeactis pamela
broinc1,Coeligena coeligena
broinc2,Coeligena wilsoni
blainc1,Coeligena prunellei
colinc1,Coeligena torquata
vitsta1,Coeligena violifer
raista1,Coeligena iris
whtsta1,Coeligena phalerata
dussta1,Coeligena orina
buwsta1,Coeligena lutetiae
gobsta1,Coeligena bonapartei
mouvel1,Lafresnaya lafresnayi
swbhum1,Ensifera ensifera
gresap1,Pterophanes cyanopterus
butcor1,Boissonneaua flavescens
chbcor1,Boissonneaua matthewsii
vepcor1,Boissonneaua jardini
boorat1,Ocreatus underwoodii
boorat2,Ocreatus peruanus
rubrat1,Ocreatus addae
whthil2,Urochroa bougueri
whthil3,Urochroa leucura
pubwhi1,Urosticte benjamini
ruvwhi1,Urosticte ruficrissa
vebbri1,Heliodoxa xanthogonys
pitbri1,Heliodoxa gularis
ruwbri1,Heliodoxa branickii
bltbri1,Heliodoxa schreibersii
goujew1,Heliodoxa aurescens
fabbri1,Heliodoxa rubinoides
grcbri1,Heliodoxa jacula
empbri1,Heliodoxa imperatrix
vifbri1,Heliodoxa leadbeateri
brarub1,Heliodoxa rubricauda
giahum1,Patagona gigas
maghum1,Eugenes fulgens
maghum2,Eugenes spectabilis
fithum1,Panterpe insignis
lobsta1,Heliomaster longirostris
